spain,day,month,year,hour,day_of_week,week_of_year,day_of_year,is_weekend,is_month_beginning,is_month_end,summer,spring,winter,fall,is_matchday,quarter,day_or_night,season_category,is_bad_weather,is_good_weather,is_holiday,days_to_next_holiday,days_since_last_holiday,lag_1,lag_3,lag_6,lag_12,lag_24,lag_48,lag_96,lag_192,lag_384,moving_avg_1,moving_avg_3,moving_avg_6,moving_avg_12,moving_avg_24,moving_avg_48,moving_avg_96,moving_avg_192,moving_avg_384,exp_moving_avg_1,exp_moving_avg_3,exp_moving_avg_6,exp_moving_avg_12,exp_moving_avg_24,exp_moving_avg_48,exp_moving_avg_96,exp_moving_avg_192,exp_moving_avg_384,rolling_std_3,rolling_std_6,rolling_std_12,rolling_std_24,rolling_std_48,rolling_std_96,rolling_std_192,rolling_std_384,lag_diff_1,lag_diff_3,lag_diff_6,lag_diff_12,lag_diff_24,lag_diff_48,lag_diff_96,lag_diff_192,lag_diff_384,cumulative_sum,cumulative_mean
159.78,4,11,2022,23,4,44,308,0,0,0,0,0,0,1,0,4,0,1,0,1,0,33,2,174.0,195.58,158.42,123.27,113.72,107.0,208.36,90.31,80.0,159.78,173.59333333333328,185.58,155.60916666666665,150.44208333333333,136.16791666666668,127.15989583333332,127.82208333333334,114.73317708333333,159.78,170.8256654079206,172.49369702163796,164.6259975317027,154.0754046909568,144.1808014799427,136.6539563341066,128.80326849553393,117.45233666645122,13.614555935959103,19.87188164216054,36.42007225252031,27.672425135183424,28.156727018928358,29.975324992568357,33.59129402658447,33.44660590850507,-14.219999999999999,-35.80000000000001,1.3600000000000136,36.510000000000005,46.06,52.78,-48.58000000000001,69.47,79.78,44137.53999999996,114.64296103896105
146.67,5,11,2022,0,5,44,309,0,0,0,0,0,0,1,0,4,0,1,0,1,0,32,3,159.78,187.0,179.38,118.0,151.15,120.0,140.0,89.64,72.34,146.67,160.14999999999995,180.12833333333333,157.99833333333333,150.25541666666666,136.72354166666668,127.22937499999999,128.11911458333333,114.92674479166668,146.67,158.74783270396028,165.11549787259855,161.8635363729792,153.48297231568026,144.28240141953685,136.8604726983518,128.98841597226414,117.6041167357164,13.66875634430668,25.580001889497574,34.62474176689633,27.682550457261936,28.093966073570286,30.01310639361981,33.5039314993554,33.4156936688546,-13.110000000000014,-40.33000000000001,-32.71000000000001,28.669999999999987,-4.480000000000018,26.669999999999987,6.6699999999999875,57.02999999999999,74.32999999999998,44284.209999999955,114.72593264248704
133.79,5,11,2022,1,5,44,309,0,0,0,0,0,0,1,0,4,0,1,0,1,0,32,3,146.67,174.0,217.74,112.8,147.25,104.11,125.4,88.02,68.74,133.79,146.74666666666664,166.13666666666668,159.7475,149.69458333333333,137.341875,127.31677083333334,128.3575,115.09614583333332,133.79,146.26891635198012,156.16535562328468,157.54453077713626,151.90753453042586,143.85414013710678,136.79716398292186,129.0381733197018,117.68819924618022,12.995169615413078,23.78943350873845,32.605129581095255,27.881715526280264,27.684523724572067,30.01993805859153,33.37972653356365,33.34575083792137,-12.879999999999995,-40.21000000000001,-83.95000000000002,20.989999999999995,-13.460000000000008,29.679999999999993,8.389999999999986,45.769999999999996,65.05,44417.999999999956,114.7751937984496
118.76,5,11,2022,2,5,44,309,0,0,0,0,0,0,1,0,4,0,1,0,1,0,32,3,133.79,159.78,195.58,112.44,146.15,98.7,100.53,88.02,65.0,118.76,133.0733333333333,153.33333333333334,160.27416666666667,148.55333333333334,137.75979166666667,127.50666666666667,128.51760416666664,115.23614583333334,118.76,132.51445817599006,145.47811115948906,151.57767988834604,149.2557317679918,142.82988951926566,136.4252636946142,128.93166375162198,117.69376704230396,13.968794985014013,25.392015805498325,31.81292803486545,28.584806646442523,27.236572837926662,29.90615323647484,33.2587389529882,33.24758569125305,-15.029999999999987,-41.019999999999996,-76.82000000000001,6.320000000000007,-27.39,20.060000000000002,18.230000000000004,30.74000000000001,53.760000000000005,44536.75999999996,114.78546391752577
114.99,5,11,2022,3,5,44,309,0,0,0,0,0,0,1,0,4,0,1,0,1,0,32,3,118.76,146.67,187.0,112.58,135.3,93.7,100.43,88.6,66.74,114.99,122.51333333333328,141.33166666666668,160.475,147.70708333333332,138.20333333333335,127.65833333333335,128.65505208333335,115.361796875,114.99,123.75222908799503,136.7672222567779,145.94880605936973,146.51447322655244,141.69356749807113,135.9832994947252,128.7871905521233,117.67972149922706,9.946136603392837,23.221968406374735,31.490437942623075,29.286260390239978,26.67128803927117,29.804136578552118,33.14725226895228,33.154873160008954,-3.7700000000000102,-31.679999999999993,-72.01,2.4099999999999966,-20.310000000000016,21.289999999999992,14.559999999999988,26.39,48.25,44651.749999999956,114.78598971722366
114.99,5,11,2022,4,5,44,309,0,0,0,0,0,0,1,0,4,0,1,0,1,0,32,3,114.99,133.79,174.0,139.59,122.13,90.91,98.0,90.1,68.89,114.99,116.24666666666663,131.49666666666667,158.425,147.40958333333333,138.705,127.8353125,128.7846875,115.48184895833333,114.99,119.37111454399752,130.54515875484134,141.1859128194667,143.99251536842823,140.6036259675376,135.55044795875148,128.64421448422564,117.66574892001029,2.1766105148486417,18.668685724138644,33.69704127826512,29.59204673985283,25.9803226684631,29.676339324296645,33.044188927727625,33.069514811807466,0.0,-18.799999999999997,-59.010000000000005,-24.60000000000001,-7.140000000000001,24.08,16.989999999999995,24.89,46.099999999999994,44766.739999999954,114.78651282051281
114.99,5,11,2022,5,5,44,309,0,0,0,0,0,0,1,0,4,0,1,0,1,0,32,3,114.99,118.76,159.78,158.42,135.27,92.52,93.7,111.33,75.0,114.99,114.99,124.03166666666668,154.80583333333334,146.56458333333333,139.173125,128.05708333333334,128.80375,115.58598958333334,114.99,117.18055727199877,126.10082768202952,137.1557723857026,141.67231413895396,139.55817184641361,135.12652119671537,128.5027200336119,117.65184892562061,0.0,13.272263434194315,35.954283208828095,30.236298079592714,25.324597004313055,29.497572956955004,33.03512141035438,33.00460223561194,0.0,-3.7700000000000102,-44.790000000000006,-43.42999999999999,-20.280000000000015,22.47,21.289999999999992,3.6599999999999966,39.989999999999995,44881.72999999995,114.78703324808185
114.36,5,11,2022,6,5,44,309,0,0,0,0,0,0,1,0,4,1,1,0,1,0,32,3,114.99,114.99,146.67,179.38,154.74,97.56,93.7,132.25,102.01,114.36,114.77999999999996,118.64666666666665,149.3875,144.88208333333333,139.52312500000002,128.27229166666666,128.71057291666668,115.61815104166665,114.36,115.77027863599938,122.74630548716394,133.64873048020988,139.48732900783764,138.5296750363559,134.69834550193772,128.35616334932575,117.63474841172129,0.3637306696114798,7.587127695422482,36.803521354497036,30.878256030271928,24.84886830388968,29.319097727165715,33.0505763814564,32.99735497696475,-0.6299999999999955,-0.6299999999999955,-32.30999999999999,-65.02,-40.38000000000001,16.799999999999997,20.659999999999997,-17.89,12.349999999999994,44996.08999999995,114.785943877551
120.0,5,11,2022,7,5,44,309,0,0,0,0,0,0,1,0,4,1,1,0,1,0,32,3,114.36,114.99,133.79,217.74,166.77,110.81,93.1,140.0,117.0,120.0,116.44999999999995,116.34833333333331,141.24249999999998,142.93333333333334,139.71458333333334,128.5525,128.60640625,115.62596354166665,120.0,117.88513931799969,121.96164677654568,131.5489257909468,137.92834268721063,137.77336176956587,134.39528683179466,128.26957098301148,117.6470354329591,3.0904853987709373,2.3933024603348656,30.59257132793112,30.912659664549103,24.65759707351321,29.107189345227987,33.04632588589246,32.99803813471614,5.640000000000001,5.010000000000005,-13.789999999999992,-97.74000000000001,-46.77000000000001,9.189999999999998,26.900000000000006,-20.0,3.0,45116.08999999995,114.79921119592875
118.6,5,11,2022,8,5,44,309,0,0,0,0,0,0,1,0,4,1,1,0,1,0,32,3,120.0,114.99,118.76,195.58,166.46,130.0,93.7,137.89,119.72,118.6,117.6533333333333,116.32166666666666,134.82750000000001,140.93916666666667,139.47708333333333,128.81187500000001,128.5059375,115.623046875,118.6,118.24256965899984,121.00117626896119,129.55678336157038,136.3820752722338,136.9907755748897,134.06961081464425,128.16936817489736,117.65198589824243,2.9367555794362468,2.361740177632773,25.86899130935806,30.87266582152478,24.807603669494277,28.903578700751446,33.047276862352994,32.997724818125434,-1.4000000000000057,3.6099999999999994,-0.1600000000000108,-76.98000000000002,-47.860000000000014,-11.400000000000006,24.89999999999999,-19.289999999999992,-1.1200000000000045,45234.68999999995,114.80885786802031
